,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
0,Kadence,"Frontier guitar with Online Guitar learning course, Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)","₹5,399.00",7 Days Replacement,"FREE delivery: Friday, May 20 Details",In Stock,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A061107531TUGN5RHMV0N&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dguitar%26qid%3D1652621550%26smid%3DAM04Z7MH4HSDD%26sr%3D8-1-spons%26psc%3D1%26smid%3DAM04Z7MH4HSDD&qualifier=1652621550&id=1831618335065109&widgetName=sp_atf
1,Kadence,"Frontier Jumbo Semi Acoustic Guitar With Die Cast Keys Super Combo (Bag, 1 pack Strings, Strap, Picks, Capo, Tuner (natural)","₹7,348.00",7 Days Replacement,"FREE delivery: Saturday, May 21 Details",In Stock,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0046612372SWJAK5T57D&url=%2FKadence-Frontier-Acoustic-Equalizer-Strings%2Fdp%2FB01HRIHH9E%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dguitar%26qid%3D1652621550%26sr%3D8-2-spons%26psc%3D1&qualifier=1652621550&id=1831618335065109&widgetName=sp_atf
2,Vault,"Traveller 34 Inch Acoustic Guitar With Bag, Strap, Strings, Polishing Cloth, String Winder and Picks - Natural Gloss","₹3,799",7 Days Replacement,"FREE delivery: Friday, May 20 Details",In Stock,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0745490374VP9DX2TU09&url=%2FTraveller-Acoustic-Guitar-Strings-Polishing%2Fdp%2FB07RK9962M%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dguitar%26qid%3D1652621550%26sr%3D8-3-spons%26psc%3D1&qualifier=1652621550&id=1831618335065109&widgetName=sp_atf
3,Blueberry,"38C, 38"" Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Black)","₹2,695",7 Days Replacement,"FREE delivery: Thursday, May 19 Details",In Stock,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0049561XBD14Z9O6GXG&url=%2FBlueberry-38C-Acoustic-Guitar-Strings%2Fdp%2FB08KLMV4XX%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dguitar%26qid%3D1652621550%26sr%3D8-4-spons%26psc%3D1&qualifier=1652621550&id=1831618335065109&widgetName=sp_atf
4,Intern,"INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black","₹2,150",7 Days Replacement,"FREE delivery: Saturday, May 21 Details",In Stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_5?keywords=guitar&qid=1652621550&sr=8-5
5,Juarez,"Acoustic Guitar, 38 Inch Curved Body Cutaway, 38CUR with Bag, Strings, Pick and Strap, Black","₹2,850",7 Days Replacement,"FREE delivery: Saturday, May 21 Details",In Stock,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B076QHZ4HZ/ref=sr_1_omk_6?keywords=guitar&qid=1652621550&sr=8-6
6,Medellin,"38"" Acoustic Guitar Carbon Fiber body+(Free Online Learning Course) - Durable Matt finish with handrest, strings, strap, bag, 3 Picks, capo, stand.","₹1,899",7 Days Replacement,"FREE delivery: Saturday, May 21 Details",In Stock,https://www.amazon.in/Medellin-Acoustic-Guitar-Carbon-Learning/dp/B09MSFP7JK/ref=sr_1_7?keywords=guitar&qid=1652621550&sr=8-7
7,Intern,"INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black","₹2,150",7 Days Replacement,"FREE delivery: Saturday, May 21 Details",In Stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sxin_14?asc_contentid=amzn1.osa.1320a493-71c5-4ff9-a1fa-1353eba85472.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.1320a493-71c5-4ff9-a1fa-1353eba85472.A21TJRUUN4KGV.en_IN&creativeASIN=B073B6TQQY&cv_ct_cx=guitar&cv_ct_id=amzn1.osa.1320a493-71c5-4ff9-a1fa-1353eba85472.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=guitar&linkCode=oas&pd_rd_i=B073B6TQQY&pd_rd_r=ca3dd11c-878e-4c1c-a24c-47c6fb5e3042&pd_rd_w=pF4Bu&pd_rd_wg=FpPBl&pf_rd_p=f50b8836-bf86-46c0-a999-ee1dda2b7d1f&pf_rd_r=T9C1ZVFSPSZX2632QWFG&qid=1652621550&sr=1-1-61f4c597-7a45-4a97-bd75-c52903f8ee93&tag=hznew-21
8,Kadence,"Frontier guitar with Online Guitar learning course, Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)","₹5,399.00",7 Days Replacement,"FREE delivery: Friday, May 20 Details",In Stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01GDZ46AA/ref=sxin_14?asc_contentid=amzn1.osa.1320a493-71c5-4ff9-a1fa-1353eba85472.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.1320a493-71c5-4ff9-a1fa-1353eba85472.A21TJRUUN4KGV.en_IN&creativeASIN=B01GDZ46AA&cv_ct_cx=guitar&cv_ct_id=amzn1.osa.1320a493-71c5-4ff9-a1fa-1353eba85472.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=guitar&linkCode=oas&pd_rd_i=B01GDZ46AA&pd_rd_r=ca3dd11c-878e-4c1c-a24c-47c6fb5e3042&pd_rd_w=pF4Bu&pd_rd_wg=FpPBl&pf_rd_p=f50b8836-bf86-46c0-a999-ee1dda2b7d1f&pf_rd_r=T9C1ZVFSPSZX2632QWFG&qid=1652621550&smid=AM04Z7MH4HSDD&sr=1-2-61f4c597-7a45-4a97-bd75-c52903f8ee93&tag=hznew-21
9,Juarez,"Acoustic Guitar Kit, 38 Inch Cutaway, 38C with Bag, Strings, Pick and Strap, TBS Transparent Blue Sunburst","₹2,648",7 Days Replacement,"FREE delivery: Saturday, May 21 Details",In Stock,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDS6/ref=sxin_14?asc_contentid=amzn1.osa.1320a493-71c5-4ff9-a1fa-1353eba85472.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.1320a493-71c5-4ff9-a1fa-1353eba85472.A21TJRUUN4KGV.en_IN&creativeASIN=B01FYYTDS6&cv_ct_cx=guitar&cv_ct_id=amzn1.osa.1320a493-71c5-4ff9-a1fa-1353eba85472.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=guitar&linkCode=oas&pd_rd_i=B01FYYTDS6&pd_rd_r=ca3dd11c-878e-4c1c-a24c-47c6fb5e3042&pd_rd_w=pF4Bu&pd_rd_wg=FpPBl&pf_rd_p=f50b8836-bf86-46c0-a999-ee1dda2b7d1f&pf_rd_r=T9C1ZVFSPSZX2632QWFG&qid=1652621550&sr=1-3-61f4c597-7a45-4a97-bd75-c52903f8ee93&tag=hznew-21
