,Brand,Mobile Name,Colour,RAM,ROM,Pri Cam,Sec Cam,Display Size,Display Reso,Processor,Battery,Price,URL
0,Google,Pixel 4a ,Just Black,6 GB RAM , 128 GB ROM,12.2MP Rear Camera , 8MP Front Camera,14.76 cm (5.81 inch, Full HD+ Display,Qualcomm Snapdragon 730G Processor,3140 mAh Battery,"₹31,999",https://www.flipkart.com/google-pixel-4a-just-black-128-gb/p/itm023b9677aa45d?pid=MOBFUSBNAZGY7HQU&lid=LSTMOBFUSBNAZGY7HQUWHTF0C&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=d16bc516-fd54-4ca2-9a9f-8637628b067a.MOBFUSBNAZGY7HQU.SEARCH&ppt=hp&ppn=homepage&ssid=ww0m8gw30g0000001653325444751&qH=614b192c242ae032
1,vivo,T1 44W ,Ice Dawn,8 GB RAM , 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP , 16MP Front Camera,16.36 cm (6.44 inch, Full HD+ AMOLED Display,Qualcomm Snapdragon 680 Processor,5000 mAh Lithium Battery,"₹17,999",https://www.flipkart.com/vivo-t1-44w-ice-dawn-128-gb/p/itm6fabe8894256b?pid=MOBGDRHV86NZHMDM&lid=LSTMOBGDRHV86NZHMDMR0BLSS&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=d16bc516-fd54-4ca2-9a9f-8637628b067a.MOBGDRHV86NZHMDM.SEARCH&ppt=hp&ppn=homepage&ssid=ww0m8gw30g0000001653325444751&qH=614b192c242ae032
2,vivo,T1 44W ,Starry Sky,4 GB RAM , 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP , 16MP Front Camera,16.36 cm (6.44 inch, Full HD+ AMOLED Display,Qualcomm Snapdragon 680 Processor,5000 mAh Lithium Battery,"₹14,499",https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm6fabe8894256b?pid=MOBGDRHVHNBBBBP5&lid=LSTMOBGDRHVHNBBBBP57SXRTY&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=d16bc516-fd54-4ca2-9a9f-8637628b067a.MOBGDRHVHNBBBBP5.SEARCH&ppt=hp&ppn=homepage&ssid=ww0m8gw30g0000001653325444751&qH=614b192c242ae032
3,vivo,T1 44W ,Ice Dawn,4 GB RAM , 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP , 16MP Front Camera,16.36 cm (6.44 inch, Full HD+ AMOLED Display,Qualcomm Snapdragon 680 Processor,5000 mAh Lithium Battery,"₹14,499",https://www.flipkart.com/vivo-t1-44w-ice-dawn-128-gb/p/itm6fabe8894256b?pid=MOBGDRHVKYHCVG7W&lid=LSTMOBGDRHVKYHCVG7WU0WEW8&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=d16bc516-fd54-4ca2-9a9f-8637628b067a.MOBGDRHVKYHCVG7W.SEARCH&ppt=hp&ppn=homepage&ssid=ww0m8gw30g0000001653325444751&qH=614b192c242ae032
4,vivo,T1 44W ,Midnight Galaxy,8 GB RAM , 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP , 16MP Front Camera,16.36 cm (6.44 inch, Full HD+ AMOLED Display,Qualcomm Snapdragon 680 Processor,5000 mAh Lithium Battery,"₹17,999",https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm6fabe8894256b?pid=MOBGDRHVWJUFTYQJ&lid=LSTMOBGDRHVWJUFTYQJ7NGITG&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=d16bc516-fd54-4ca2-9a9f-8637628b067a.MOBGDRHVWJUFTYQJ.SEARCH&ppt=hp&ppn=homepage&ssid=ww0m8gw30g0000001653325444751&qH=614b192c242ae032
5,vivo,T1 44W ,Starry Sky,8 GB RAM , 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP , 16MP Front Camera,16.36 cm (6.44 inch, Full HD+ AMOLED Display,Qualcomm Snapdragon 680 Processor,5000 mAh Lithium Battery,"₹17,999",https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm6fabe8894256b?pid=MOBGDRHVHYFKQP8K&lid=LSTMOBGDRHVHYFKQP8KYHDDNN&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=d16bc516-fd54-4ca2-9a9f-8637628b067a.MOBGDRHVHYFKQP8K.SEARCH&ppt=hp&ppn=homepage&ssid=ww0m8gw30g0000001653325444751&qH=614b192c242ae032
6,vivo,T1 44W ,Midnight Galaxy,4 GB RAM , 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP , 16MP Front Camera,16.36 cm (6.44 inch, Full HD+ AMOLED Display,Qualcomm Snapdragon 680 Processor,5000 mAh Lithium Battery,"₹14,499",https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm6fabe8894256b?pid=MOBGDRHVZN29ZJF4&lid=LSTMOBGDRHVZN29ZJF4QSKOSJ&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=d16bc516-fd54-4ca2-9a9f-8637628b067a.MOBGDRHVZN29ZJF4.SEARCH&ppt=hp&ppn=homepage&ssid=ww0m8gw30g0000001653325444751&qH=614b192c242ae032
7,vivo,T1 44W ,Midnight Galaxy,6 GB RAM , 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP , 16MP Front Camera,16.36 cm (6.44 inch, Full HD+ AMOLED Display,Qualcomm Snapdragon 680 Processor,5000 mAh Lithium Battery,"₹15,999",https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm6fabe8894256b?pid=MOBGDRHVXFVCGS23&lid=LSTMOBGDRHVXFVCGS23RDLBPG&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=d16bc516-fd54-4ca2-9a9f-8637628b067a.MOBGDRHVXFVCGS23.SEARCH&ppt=hp&ppn=homepage&ssid=ww0m8gw30g0000001653325444751&qH=614b192c242ae032
8,MOTOROLA,edge 30 ,Meteor Grey,6 GB RAM , 128 GB ROM,50MP + 50MP + 2MP , 32MP Front Camera,16.64 cm (6.55 inch, Full HD+ Display,Qualcomm Snapdragon 778G Plus Processor,4020 mAh Lithium Battery,"₹27,999",https://www.flipkart.com/motorola-edge-30-meteor-grey-128-gb/p/itma02c4f5bca2df?pid=MOBGDCYGCZCYGYYZ&lid=LSTMOBGDCYGCZCYGYYZGGDKW0&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=d16bc516-fd54-4ca2-9a9f-8637628b067a.MOBGDCYGCZCYGYYZ.SEARCH&ppt=hp&ppn=homepage&ssid=ww0m8gw30g0000001653325444751&qH=614b192c242ae032
9,Infinix,Smart 6 ,Starry Purple,2 GB RAM , 64 GB ROM | Expandable Upto 512 GB,8 MP + Depth Lens , 5MP Front Camera,16.76 cm (6.6 inch, HD+ Display,Mediatek Helio A22 Processor,5000 mAh Li-ion Polymer Battery,"₹7,499",https://www.flipkart.com/infinix-smart-6-starry-purple-64-gb/p/itmd4041ce33d262?pid=MOBGDC6HFGCW5PGF&lid=LSTMOBGDC6HFGCW5PGFFKFQIM&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=d16bc516-fd54-4ca2-9a9f-8637628b067a.MOBGDC6HFGCW5PGF.SEARCH&ppt=hp&ppn=homepage&ssid=ww0m8gw30g0000001653325444751&qH=614b192c242ae032
